Modèle,Location,Count
2008,Taza,1
206,Meknès,2
208,Fès,1
208,Tanger,2
220,Agadir,2
220,Marrakech,1
250,Laâyoune,1
3008,Casablanca,2
3008,Kénitra,2
3008,Rabat,1
301,Fès,1
301,Safi,1
306,Casablanca,1
308,Casablanca,1
308,Fès,2
406,Agadir,1
500,Casablanca,1
5008,Tanger,2
500C,Rabat,1
500X,Marrakech,1
A3,Rabat,1
A3,Tanger,1
A5,Casablanca,1
A5,Rabat,2
A6,Casablanca,1
Accent,Casablanca,1
Accent,Fès,1
Accent,Kénitra,2
Accent,Rabat,2
Accord,Marrakech,1
Amarok,Casablanca,2
Astra,Casablanca,1
Bentayga,Casablanca,1
C3,Nador,2
C3,Rabat,1
C4,Casablanca,2
C4 CACTUS,Rabat,2
C5 Aircross,Agadir,1
C6,Casablanca,1
CLASSE C COUPE,Rabat,1
CLASSE GLC COUPE,Rabat,1
CLASSE ML,Rabat,1
CRETA,Marrakech,1
Caddy,Casablanca,2
Caddy,Rabat,1
Captur,Casablanca,1
Cayenne,Casablanca,3
Cayenne,Tanger,3
Cherokee,Casablanca,1
Classe A,Casablanca,1
Classe A,El Jadida,1
Classe A,Marrakech,1
Classe A,مراكش,1
Classe C,Casablanca,1
Classe C,El Jadida,1
Classe C,Rabat,2
Classe C,Tétouan,1
Classe CLS,Casablanca,1
Classe E,Casablanca,3
Classe E,Kénitra,3
Classe E,Oujda,1
Classe E,Rabat,2
Classe E,الدار البيضاء,1
Classe GLC,Casablanca,1
Clio,Casablanca,3
Clio,Fès,2
Clio,Marrakech,2
Clio,Mohammedia,2
Clio,Rabat,4
Compass,Casablanca,2
Corolla,Tiznit,1
Crossland X,Casablanca,1
Doblo,Meknès,2
Dokker,Casablanca,3
Dokker,الدار البيضاء,1
Dokker Van,Marrakech,1
Dokker Van,Rabat,1
Duster,Agadir,1
Duster,Marrakech,3
Duster,Mohammedia,2
EOS,Rabat,1
EXPRESS,Casablanca,1
F-PACE,Casablanca,2
Fabia,Agadir,1
Fiesta,Meknès,2
Fiesta,Rabat,2
Fluence,Tétouan,1
Focus,Rabat,1
GOLF 4,Agadir,2
GOLF 4,Essaouira,3
GOLF 4,Marrakech,1
GOLF 4,Settat,1
GOLF 6,El Jadida,2
GOLF 7,Casablanca,4
GOLF 7,Marrakech,1
Ghibli,Casablanca,1
Giulietta,Casablanca,2
Grand Cherokee,Agadir,1
Hilux,Casablanca,2
Ibiza,Casablanca,2
Ibiza,Rabat,2
Jetta,Marrakech,2
Kangoo,Salé,1
Kangoo,Tétouan,1
Kuga,Casablanca,3
Kuga,Safi,1
Leon,Rabat,2
Logan,Tanger,2
Logan,Temara,2
Macan,Rabat,1
Macan,Tanger,1
Megane 3,Casablanca,7
Megane 3,Rabat,1
Octavia,Agadir,2
Octavia,Tanger,2
Panamera,Rabat,1
Passat,Rabat,1
Pathfinder,Marrakech,1
Picanto,Kénitra,1
Picanto,Marrakech,1
Polo,Tanger,1
Prado,Laâyoune,1
Q3,Casablanca,1
Q5,Casablanca,2
Q5,Rabat,1
Q7,Casablanca,2
Q8,Casablanca,1
Q8,Rabat,1
Qashqai,Casablanca,2
Qashqai,Guercif,1
RS3,Rabat,1
RS3,Tanger,1
RSQ3,Fès,1
RSQ3,Rabat,1
RSQ8,Casablanca,3
Range Rover Evoque,Casablanca,4
Range Rover Evoque,Rabat,2
Range Rover Evoque,Tanger,2
Range Rover Sport,Casablanca,3
Range Rover Sport,Marrakech,2
Range Rover Sport,Rabat,1
Ranger,Temara,2
Renegade,El Jadida,1
Renegade,Marrakech,3
S60,Casablanca,1
S90,Casablanca,2
Santa Fe,Rabat,2
Serie 1,Casablanca,1
Serie 1,El Jadida,2
Serie 2 coupé,Casablanca,1
Serie 3,Casablanca,3
Serie 3,Rabat,2
Serie 4 gran coupé,Casablanca,3
Serie 4 gran coupé,Marrakech,1
Serie 5,Casablanca,2
Serie 5,Rabat,3
Serie 7,Rabat,2
Sorento,Casablanca,1
Spark,Mohammedia,1
Sportage,Rabat,2
Sprinter,Casablanca,2
Stelvio,Casablanca,2
TIPO,Safi,2
Tepee,Temara,2
Tiguan,Casablanca,6
Tiguan,Marrakech,1
Touareg,Rabat,1
Touareg,Tanger,1
Touran,Al Hoceima,2
Touran,Casablanca,1
Touran,Marrakech,2
Touran,Tanger,2
Transit,Tétouan,1
Tucson,Casablanca,1
Tucson,Rabat,1
X1,Casablanca,2
X1,Oujda,1
X3,Casablanca,3
X4,Salé,1
X4,Tétouan,1
XE,Casablanca,1
XE,Tétouan,2
XF,Casablanca,2
XF,الدار البيضاء,1
Yaris,Rabat,1
classe_c_cabriolet,Casablanca,2
classe_e_cabriolet,Casablanca,2
classe_e_coupe,Salé,1
classe_gle_coupe,Casablanca,1
classe_gle_coupe,El Jadida,2
classe_gle_coupe,Rabat,1
cooper,Casablanca,2
cooper,Marrakech,1
i 10,Casablanca,4
i 20,Casablanca,1
i 20,Rabat,2
i 40,Tanger,1
ix 35,Rabat,2
land_cruiser_prado,Casablanca,1
landtrek,Casablanca,1
q5_sportback,Rabat,1
sandero_stepway,Bab Berred,2
t-roc,Casablanca,1
