Modèle,mean,min,max
2008,14000.0,14000.0,14000.0
206,nan,nan,nan
206+,411666.67,75000.0,580000.0
208,123250.0,98000.0,145000.0
220,362000.0,330000.0,378000.0
250,45000.0,45000.0,45000.0
3008,169500.0,120000.0,219000.0
301,95000.0,92000.0,98000.0
306,33000.0,33000.0,33000.0
308,nan,nan,nan
406,nan,nan,nan
500,130000.0,130000.0,130000.0
5008,395000.0,395000.0,395000.0
500C,nan,nan,nan
500X,194000.0,168000.0,220000.0
911 Carrera,nan,nan,nan
A3,215000.0,215000.0,215000.0
A4,280000.0,280000.0,280000.0
A5,160000.0,85000.0,310000.0
A6,230000.0,230000.0,230000.0
Accent,131333.33,110000.0,168000.0
Accord,79000.0,79000.0,79000.0
Amarok,115000.0,115000.0,115000.0
Astra,123000.0,123000.0,123000.0
Bentayga,nan,nan,nan
Bipper,75000.0,75000.0,75000.0
C-HR,nan,nan,nan
C3,77000.0,59000.0,95000.0
C4,89997.0,89997.0,89997.0
C4 CACTUS,nan,nan,nan
C5 Aircross,215000.0,215000.0,215000.0
C6,84000.0,84000.0,84000.0
CLASSE C COUPE,458000.0,458000.0,458000.0
CLASSE GLC COUPE,nan,nan,nan
CLASSE ML,198000.0,198000.0,198000.0
CRAFTER,327000.0,327000.0,327000.0
CRETA,165000.0,165000.0,165000.0
Caddy,127333.33,120000.0,142000.0
Captur,153500.0,153500.0,153500.0
Cayenne,nan,nan,nan
Cherokee,185000.0,185000.0,185000.0
Classe A,355000.0,355000.0,355000.0
Classe C,249000.0,125000.0,300000.0
Classe CLS,nan,nan,nan
Classe E,125000.0,125000.0,125000.0
Classe G,nan,nan,nan
Classe GLA,225000.0,225000.0,225000.0
Classe GLC,nan,nan,nan
Clio,124500.0,92000.0,178000.0
Compass,nan,nan,nan
Corolla,nan,nan,nan
Crossland X,158000.0,158000.0,158000.0
DS 3,nan,nan,nan
Doblo,105000.0,105000.0,105000.0
Dokker,123225.0,94900.0,145000.0
Dokker Van,90000.0,87000.0,93000.0
Ducato,155000.0,155000.0,155000.0
Duster,156000.0,118000.0,175000.0
EOS,83000.0,83000.0,83000.0
EXPRESS,nan,nan,nan
F-PACE,286666.67,270000.0,320000.0
Fabia,58000.0,58000.0,58000.0
Fiesta,60000.0,60000.0,60000.0
Fluence,80000.0,80000.0,80000.0
Focus,nan,nan,nan
Fusion,nan,nan,nan
GOLF 4,55000.0,33000.0,66000.0
GOLF 6,114250.0,106000.0,118000.0
GOLF 7,266666.67,180000.0,310000.0
GOLF 8,nan,nan,nan
Ghibli,nan,nan,nan
Giulietta,166000.0,109000.0,195000.0
Grand Cherokee,183000.0,158000.0,192000.0
Hilux,nan,nan,nan
Ibiza,92000.0,79000.0,105000.0
Jetta,nan,nan,nan
K01,69000.0,69000.0,69000.0
Kangoo,135000.0,135000.0,135000.0
Kodiaq,380000.0,380000.0,380000.0
Kuga,250000.0,250000.0,250000.0
Leon,186000.0,150000.0,258000.0
Logan,89000.0,52000.0,125000.0
Macan,nan,nan,nan
Megane,nan,nan,nan
Megane 3,107000.0,87000.0,115000.0
Megane Coupe,nan,nan,nan
Micra,nan,nan,nan
Mustang,nan,nan,nan
Octavia,165666.67,165000.0,167000.0
Panamera,nan,nan,nan
Passat,154000.0,154000.0,154000.0
Pathfinder,95000.0,95000.0,95000.0
Picanto,155000.0,155000.0,155000.0
Polo,370000.0,370000.0,370000.0
Prado,nan,nan,nan
Q3,240000.0,240000.0,240000.0
Q5,365000.0,180000.0,550000.0
Q7,360000.0,360000.0,360000.0
Q8,nan,nan,nan
Qashqai,145000.0,98000.0,192000.0
RS3,nan,nan,nan
RSQ3,nan,nan,nan
RSQ8,nan,nan,nan
Range Rover Evoque,319875.0,207000.0,385000.0
Range Rover Sport,259166.67,155000.0,350000.0
Ranger,180000.0,180000.0,180000.0
Renegade,221666.67,220000.0,225000.0
S-Type,42000.0,42000.0,42000.0
S60,180000.0,180000.0,180000.0
S90,nan,nan,nan
Santa Fe,nan,nan,nan
Serie 1,147000.0,108000.0,225000.0
Serie 2 coupé,185000.0,185000.0,185000.0
Serie 3,157000.0,125000.0,180000.0
Serie 4 gran coupé,230000.0,230000.0,230000.0
Serie 5,267375.0,125000.0,350000.0
Serie 7,750000.0,750000.0,750000.0
Sorento,93000.0,93000.0,93000.0
Spark,45000.0,45000.0,45000.0
Sportage,128000.0,72000.0,240000.0
Sprinter,245000.0,245000.0,245000.0
Stelvio,245000.0,245000.0,245000.0
TIPO,132000.0,132000.0,132000.0
Tepee,80000.0,80000.0,80000.0
Tiguan,326666.67,320000.0,330000.0
Touareg,143000.0,138000.0,148000.0
Touran,228000.0,228000.0,228000.0
Transit,255000.0,255000.0,255000.0
Tucson,265333.33,238000.0,320000.0
Wrangler,260000.0,260000.0,260000.0
X1,253000.0,209000.0,335000.0
X3,225000.0,225000.0,225000.0
X4,522500.0,485000.0,560000.0
X7,nan,nan,nan
XE,238333.33,235000.0,240000.0
XF,292000.0,292000.0,292000.0
Yaris,118000.0,118000.0,118000.0
cayenne_coupe,nan,nan,nan
classe_c_cabriolet,nan,nan,nan
classe_e_cabriolet,nan,nan,nan
classe_e_coupe,445000.0,445000.0,445000.0
classe_gle_coupe,nan,nan,nan
cooper,285000.0,285000.0,285000.0
i 10,86000.0,86000.0,86000.0
i 20,nan,nan,nan
i 40,nan,nan,nan
ix 35,nan,nan,nan
land_cruiser_prado,nan,nan,nan
landtrek,175000.0,175000.0,175000.0
megane_4,nan,nan,nan
pajero,nan,nan,nan
q5_sportback,790000.0,790000.0,790000.0
sandero_stepway,92000.0,92000.0,92000.0
spring,nan,nan,nan
t-roc,345000.0,345000.0,345000.0
